ID,Category,Source,MLG,Phmi01A,Phmi01B,Phmi02A,Phmi02B,Phmi03A,Phmi03B,Phmi05A,Phmi05B,Phmi07A,Phmi07B,Phmi08A,Phmi08B,Phmi09A,Phmi09B,Phmi10A,Phmi10B,Phmi13A,Phmi13B,Phmi14A,Phmi14B,Phmi17A,Phmi17B,Phmi20A,Phmi20B,Phmi23A,Phmi23B,Phmi24A,Phmi24B
218,Wild,Hokkaido,G14,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,160,160,220,220,288,288,307,307,313,313
242,Wild,Hokkaido,G03,88,91,103,103,106,112,104,104,128,135,139,141,146,146,142,142,151,157,154,154,218,220,284,288,307,307,313,313
243,Wild,Hokkaido,G38,88,91,101,105,106,112,104,104,122,127,135,135,146,148,142,142,154,157,160,166,218,220,284,288,307,307,313,317
171,Wild,Aomori,G30,88,88,101,101,106,109,104,104,134,135,135,141,146,146,133,133,160,160,154,170,213,213,284,284,307,310,313,315
172,Wild,Aomori,G12,88,91,101,105,106,112,104,106,126,128,135,139,146,146,142,142,157,160,154,154,218,218,284,288,307,310,313,315
173,Wild,Aomori,G39,88,88,103,105,106,109,104,104,128,128,135,135,146,146,142,142,151,160,154,154,218,218,286,288,307,310,313,313
174,Wild,Aomori,G34,88,91,101,103,106,112,102,104,128,134,135,139,148,148,142,142,151,154,163,169,213,213,284,284,307,307,313,313
192,Wild,Aomori,G25,88,91,101,101,106,109,104,104,126,128,135,139,146,148,142,142,151,157,160,166,213,221,288,292,307,307,313,313
K32,Wild,Aomori,KG62,88,88,101,101,109,109,104,110,128,128,139,139,146,148,142,145,151,154,154,160,218,229,288,290,307,307,313,315
K07,Wild,Aomori,KG45,88,88,101,101,112,112,104,104,126,126,139,139,146,146,142,142,157,157,154,154,218,218,288,288,307,307,313,313
216,Wild,Iwate,G04,88,88,101,101,109,109,104,104,128,128,135,135,146,146,145,145,160,160,142,142,220,220,288,288,307,307,309,309
217,Wild,Iwate,G06,88,88,101,101,112,112,104,104,127,127,135,135,146,146,145,145,175,175,160,160,220,220,288,288,307,307,313,313
121,Wild,Akita,G33,88,88,101,101,106,106,102,102,159,159,141,141,148,148,142,142,166,166,160,160,218,218,284,284,307,307,313,313
K27,Wild,Akita,KG06,91,91,101,101,109,109,104,104,126,135,135,139,146,146,142,142,151,157,154,154,216,218,284,284,304,307,313,313
K28,Wild,Miyagi,KG60,88,88,101,101,106,109,104,104,127,128,135,141,146,146,142,142,157,157,154,166,213,229,288,288,307,310,313,313
K29,Wild,Miyagi,KG07,91,91,101,101,109,109,104,104,126,128,139,139,146,146,142,142,157,157,154,163,213,218,284,288,307,307,313,313
K30,Wild,Miyagi,KG07,91,91,101,101,109,109,104,104,126,128,139,139,146,146,142,142,157,157,154,163,213,218,284,288,307,307,313,313
K31,Wild,Miyagi,KG07,91,91,101,101,109,109,104,104,126,128,139,139,146,146,142,142,157,157,154,163,213,218,284,288,307,307,313,313
K04,Wild,Miyagi,KG32,88,88,99,101,106,112,104,106,128,128,135,143,146,146,142,142,157,157,160,160,213,231,286,288,307,313,313,313
111,Wild,Yamagata,G46,88,91,103,103,106,106,104,104,126,128,135,135,146,148,142,142,154,160,154,166,218,230,284,288,307,307,313,313
112,Wild,Yamagata,G26,88,91,101,103,106,109,104,104,128,128,139,139,146,146,142,142,151,157,154,160,213,219,284,284,307,310,313,313
248,Wild,Yamagata,G49,88,88,103,103,112,112,104,104,128,128,135,135,146,146,145,145,154,157,154,154,218,230,284,284,307,307,321,321
255,Wild,Yamagata,G17,91,91,101,101,112,112,104,104,126,126,135,135,146,146,142,142,157,157,163,163,234,234,284,284,307,307,313,313
257,Wild,Yamagata,G29,88,88,99,103,109,112,104,104,126,135,135,141,146,148,145,145,151,157,154,154,218,225,288,288,307,307,315,315
262,Wild,Yamagata,G50,88,88,101,101,106,109,104,104,128,128,135,141,148,148,145,145,154,154,163,163,218,238,284,284,307,307,313,313
H01,Wild,Yamagata,GH1,88,91,101,105,109,109,104,104,125,135,139,141,146,146,142,142,151,157,160,166,218,222,284,284,307,310,313,313
H02,Wild,Yamagata,GH2,85,88,101,101,109,109,104,104,127,127,139,143,146,146,142,142,157,160,154,163,218,218,284,284,307,307,313,313
202,Wild,Yamagata,G27,88,88,101,101,109,112,106,106,128,128,135,135,146,148,142,142,151,154,154,163,213,218,284,284,307,307,313,315
K33,Wild,Yamagata,KG23,88,91,101,101,106,109,104,106,128,128,139,141,146,146,142,145,157,160,154,154,213,225,284,290,307,307,313,313
K34,Wild,Yamagata,KG36,88,88,101,103,112,112,104,106,128,131,139,147,148,148,142,145,157,160,154,154,218,229,282,288,307,307,313,315
K35,Wild,Yamagata,KG56,88,88,101,101,109,112,104,104,128,128,135,139,146,146,142,145,157,160,154,163,220,229,284,284,307,313,315,319
K36,Wild,Yamagata,KG52,88,88,101,101,106,106,104,104,127,128,139,141,146,146,142,142,157,157,163,166,213,229,288,290,307,307,313,315
K37,Wild,Yamagata,KG08,88,94,99,99,106,106,104,104,128,135,139,139,146,146,133,142,153,157,154,163,213,231,288,288,307,307,313,315
222,Wild,Niigata,G22,88,88,101,103,109,112,104,104,128,128,135,135,146,146,142,142,154,160,154,183,220,221,284,284,307,307,313,313
224,Wild,Niigata,G48,88,88,101,101,112,112,104,104,159,159,139,139,154,154,142,142,154,154,154,154,218,218,284,284,304,304,313,313
226,Wild,Niigata,G10,88,91,101,103,106,106,102,104,126,128,135,141,146,152,142,145,157,163,160,160,213,234,284,284,307,307,313,313
290,Wild,Niigata,G40,88,88,105,105,109,109,104,104,135,135,139,139,146,146,142,142,151,151,160,160,219,219,288,288,304,304,313,313
291,Wild,Niigata,G42,88,88,101,101,106,109,104,110,126,128,135,139,146,146,145,145,157,157,160,166,230,234,284,288,307,310,313,313
114,Wild,Fukushima,G51,88,88,99,101,109,115,104,104,127,128,139,139,146,146,142,145,154,157,160,163,218,218,284,288,307,307,313,313
012,Wild,Fukushima,G23,88,91,101,105,109,112,104,106,122,128,139,143,146,146,142,142,151,157,154,160,227,227,284,284,310,310,309,313
013,Wild,Fukushima,G13,88,88,101,101,109,109,104,104,128,128,141,141,146,146,133,133,151,151,163,163,213,213,288,288,307,307,313,313
022,Wild,Fukushima,G18,88,88,101,105,106,112,104,104,128,128,135,141,146,150,142,145,157,160,154,163,218,232,288,288,307,310,313,313
015,Wild,Fukushima,G19,88,91,103,103,109,115,104,104,127,128,135,139,146,148,142,142,157,160,154,166,218,234,284,290,307,307,313,313
020,Wild,Fukushima,G19,88,91,103,103,109,115,104,104,127,128,135,139,146,148,142,142,157,160,154,166,218,234,284,290,307,307,313,313
021,Wild,Fukushima,G19,88,91,103,103,109,115,104,104,127,128,135,139,146,148,142,142,157,160,154,166,218,234,284,290,307,307,313,313
017,Wild,Fukushima,G41,85,85,101,101,106,106,104,104,128,128,135,135,146,146,142,142,151,151,154,154,229,229,288,288,310,310,311,311
018,Wild,Fukushima,G37,88,88,101,101,112,112,106,106,128,128,139,139,146,146,142,142,157,157,163,163,218,218,284,284,307,307,313,313
294,Wild,Fukushima,G20,88,88,101,101,109,112,104,110,128,128,135,139,146,148,142,145,157,157,154,160,218,220,284,284,307,307,313,313
237,Wild,Fukushima,G43,88,88,101,101,112,112,104,104,127,127,141,141,146,146,142,142,157,157,154,154,217,217,284,284,310,310,313,313
270,Wild,Fukushima,G44,88,94,101,101,109,112,104,106,128,128,135,141,146,148,142,142,154,157,154,154,220,231,284,284,310,310,313,313
199,Wild,Fukushima,G47,85,85,103,103,109,109,104,104,135,135,135,135,146,146,145,145,157,157,154,154,220,220,288,288,307,307,315,315
188,Wild,Toyama,G31,88,88,101,103,109,109,104,106,126,128,139,139,146,146,142,142,157,160,154,163,219,221,286,286,307,307,313,317
116,Wild,Fukui,G28,88,88,101,101,106,106,104,110,128,134,139,139,146,146,145,145,154,157,154,160,220,220,283,284,310,313,313,313
117,Wild,Fukui,G28,88,88,101,101,106,106,104,110,128,134,139,139,146,146,145,145,154,157,154,160,220,220,283,284,310,313,313,313
118,Wild,Fukui,G28,88,88,101,101,106,106,104,110,128,134,139,139,146,146,145,145,154,157,154,160,220,220,283,284,310,313,313,313
119,Wild,Fukui,G28,88,88,101,101,106,106,104,110,128,134,139,139,146,146,145,145,154,157,154,160,220,220,283,284,310,313,313,313
115,Wild,Fukui,G36,88,88,101,101,109,109,104,104,126,126,139,139,146,146,142,142,157,157,160,160,222,222,288,288,304,304,313,313
283,Wild,Nagano,G02,88,88,101,103,109,109,104,106,128,135,135,141,146,148,142,142,160,160,160,163,218,220,284,290,307,307,313,313
284,Wild,Nagano,G02,88,88,101,103,109,109,104,106,128,135,135,141,146,148,142,142,160,160,160,163,218,220,284,290,307,307,313,313
287,Wild,Nagano,G05,88,88,101,101,109,109,104,104,120,120,139,139,150,150,139,139,154,154,160,160,229,229,288,288,307,307,313,313
288,Wild,Nagano,G01,88,88,101,101,106,112,104,104,127,128,141,141,146,148,142,142,154,160,154,154,213,218,284,284,307,307,313,317
106,Wild,Nagano,G09,88,88,99,101,109,112,104,104,128,159,139,139,148,148,142,142,154,163,154,166,213,218,284,288,307,307,313,313
107,Wild,Nagano,G16,88,88,101,101,106,112,104,104,122,128,135,141,146,150,142,142,151,157,160,163,213,221,288,288,310,310,317,317
108,Wild,Nagano,G32,88,88,101,103,109,112,104,106,135,159,135,139,146,146,142,142,154,157,160,160,213,218,284,284,307,310,313,317
109,Wild,Nagano,G32,88,88,101,103,109,112,104,106,135,159,135,139,146,146,142,142,154,157,160,160,213,218,284,284,307,310,313,317
105,Wild,Nagano,G45,88,88,101,107,106,106,104,104,122,135,135,141,148,148,142,145,151,154,154,160,221,221,286,288,307,307,313,313
189,Wild,Tottori,G21,88,88,105,105,106,106,104,104,125,125,139,139,148,148,142,142,157,157,154,154,213,213,284,284,307,307,313,313
190,Wild,Tottori,G08,88,88,101,101,106,106,104,104,128,128,135,135,150,150,142,142,154,154,160,160,218,218,284,284,313,313,315,315
204,Wild,Kochi,G11,88,88,103,103,109,109,104,104,134,134,135,135,146,146,142,142,151,151,163,163,231,231,282,282,286,286,311,311
205,Wild,Kochi,G00,88,88,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
209,Wild,Kochi,G00,88,88,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
210,Wild,Kochi,G00,88,88,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
211,Wild,Kochi,G00,88,88,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
F27,Cultivar,Cultivar.sawdust.JPN,CG1,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,154,154,222,222,284,284,307,307,313,313
Tohoku-N104,Cultivar,Cultivar.sawdust.JPN,CG1,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,154,154,222,222,284,284,307,307,313,313
KX-N006,Cultivar,Cultivar.sawdust.JPN,CG2,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,160,160,154,154,220,220,284,284,307,307,313,313
KX-N007,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
KX-N008,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
KX-N009,Cultivar,Cultivar.sawdust.JPN,CG4,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,166,220,220,284,284,307,310,313,313
KX-N010,Cultivar,Cultivar.sawdust.JPN,CG2,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,160,160,154,154,220,220,284,284,307,307,313,313
Tohoku-N123,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
Tohoku-N127,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
007,Cultivar,Cultivar.sawdust.JPN,CG1,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,154,154,222,222,284,284,307,307,313,313
008,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
N103,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
KX-N109,Cultivar,Cultivar.log.JPN,KG58,88,88,101,101,106,109,104,104,134,134,135,141,146,146,133,133,160,160,154,169,213,213,284,284,307,310,313,315
Mori-13,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
N245,Cultivar,Cultivar.sawdust.JPN,CG7,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,222,222,284,284,307,310,313,313
N258,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
Hokken-N108,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
Hokken-N160,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
Fukushima-N1,Cultivar,Cultivar.sawdust.JPN,CG8,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,220,222,284,284,307,310,313,313
Fukushima-N2,Cultivar,Cultivar.sawdust.x.wild.JPN,KG42,88,88,101,103,109,109,104,104,128,134,135,141,146,146,142,142,151,157,154,163,222,231,282,282,307,307,311,311
KM-86,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
KM-88,Cultivar,Cultivar.log.JPN,KG09,88,94,101,103,109,112,104,104,128,132,139,139,146,146,142,145,157,157,154,166,220,229,284,288,307,307,313,313
K10,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
N133,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
No137,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
K25,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
K26,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
CP06,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K17,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
K18,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
K19,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
K40,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
K41,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP09,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP01,Cultivar,Cultivar.sawdust.JPN,CG4,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,166,220,220,284,284,307,310,313,313
K24,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP03,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP04,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP05,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP07,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP08,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP02,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K43,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K44,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K46,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K22,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K45,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K42,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP10,Cultivar,Cultivar.CHN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
K23,Cultivar,Cultivar.CHN,NA,88,94,101,101,109,112,104,104,128,128,139,141,146,146,142,142,157,160,154,166,NA,NA,NA,NA,NA,NA,NA,NA
K38,Cultivar,Cultivar.CHN,KG11,88,94,101,101,109,112,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,229,284,288,307,307,313,313